image_id,x,y,width,height,english_text,hindi_text,bengali_text,malayalam_text,odia_text
2364500,398,113,20,75,White candle on a stand,एक स्टैंड पर सफेद मोमबत्ती,একটি স্ট্যান্ডে সাদা মোমবাতি,ഒരു സ്റ്റാൻഡിൽ വെളുത്ത മെഴുകുതിരി,ଏକ ଷ୍ଟାଣ୍ଡରେ ଧଳା ମହମବତୀ |
2335579,0,99,294,63,A grey rock wall forms a boundary of the enclosure,एक ग्रे पत्थ क़ी दीवार बाड़े की एक सीमा बनाती हुई,একটি ধূসর শিলা প্রাচীর ঘেরের সীমানা গঠন করে,ചാരനിറത്തിലുള്ള ഒരു പാറ മതിൽ ചുറ്റുമതിലിന്റെ അതിർത്തിയായി മാറുന്നു,ଏକ ଧୂସର ପଥର କାନ୍ଥ ଏନକ୍ଲୋଜରର ଏକ ସୀମା ସୃଷ୍ଟି କରେ |
3789,367,345,126,70,a large block entrance,एक बड़ा ब्लॉक प्रवेश द्वार,একটি বড় ব্লক প্রবেশদ্বার,ഒരു വലിയ ബ്ലോക്ക് പ്രവേശന കവാടം,ଏକ ବଡ଼ ବ୍ଲକ ପ୍ରବେଶ
2329619,368,313,112,32,date when taken in yellow,पीले रंग में लिया गया,তারিখ যখন হলুদ নেওয়া হয়,മഞ്ഞനിറത്തിൽ എടുത്ത തീയതി,ହଳଦିଆ ରଙ୍ଗରେ ନିଆଯିବା ତାରିଖ |
2387786,353,161,60,71,tail of cat forms a C,बिल्ली की पूंछ एक सी बनाती हुई,বিড়ালের লেজ একটি সি গঠন করে,പൂച്ചയുടെ വാൽ ഒരു സി ഉണ്ടാക്കുന്നു,ବିଲେଇର ଲାଞ୍ଜ ଏକ C ଗଠନ କରେ |
107903,601,168,80,105,Wooden railing on second level,दूसरे स्तर पर लकड़ी की रेलिंग,দ্বিতীয় স্তরে কাঠের রেলিং,രണ്ടാമത്തെ ലെവലിൽ മരം റെയിലിംഗ്,ଦ୍ୱିତୀୟ ସ୍ତରରେ କାଠ ରେଲିଂ |
2415354,77,217,262,78,white springs boxes and gears below train engine,सफेद स्प्रिंग्स बक्से और ट्रेन इंजन के नीचे गियर,ট্রেন ইঞ্জিনের নীচে সাদা স্প্রিংস বক্স এবং গিয়ার,ട്രെയിൻ എഞ്ചിന് താഴെ വൈറ്റ് സ്പ്രിംഗ് ബോക്സുകളും ഗിയറുകളും,ଟ୍ରେନ୍ ଇଞ୍ଜିନ୍ ତଳେ ଧଳା ସ୍ପ୍ରିଙ୍ଗ ବାକ୍ସ ଏବଂ ଗିଅର୍ |
2341425,395,297,95,25,time and date stamp on the photograph,तस्वीर पर समय और तारीख की मुहर,ছবিতে সময় এবং তারিখের স্ট্যাম্প,ഫോട്ടോയിലെ സമയവും തീയതിയും സ്റ്റാമ്പ്,ଫଟୋଗ୍ରାଫରେ ସମୟ ଏବଂ ତାରିଖ ଷ୍ଟାମ୍ପ |
2318632,322,17,52,144,yellow fair pole on fence,बाड़ पर पीला निष्पक्ष पोल,বেড়া উপর হলুদ ফর্সা খুঁটি,വേലിയിലെ മഞ്ഞ പോൾ,ବାଡ଼ରେ ହଳଦିଆ ମେଳା ପୋଲ |
2345681,1,30,409,302,baseball players dressed in gray and orange,ग्रे और नारंगी रंग के कपड़े पहने हुए बेसबॉल खिलाड़ी,বেসবল প্লেয়াররা ধূসর এবং কমলা রঙের পোশাক পরা,"ഗ്രേ, ഓറഞ്ച് നിറത്തിലുള്ള ഡ്രസ്സ് ധരിച്ച ബേസ്ബോൾ കളിക്കാർ",ଧୂସର ଏବଂ କମଳା ରଙ୍ଗର ବେସବଲ୍ ଖେଳାଳୀ |
2402914,368,34,54,127,teal sign with white asian characters,सफेद एशियाई पात्रों के साथ चैती साइन,সাদা এশিয়ান অক্ষরগুলির সাথে টিল সাইন,വെളുത്ത ഏഷ്യൻ പ്രതീകങ്ങളുള്ള ടീൽ ചിഹ്നം,ଧଳା ଏସିଆନ୍ ଅକ୍ଷର ସହିତ ଟିଲ୍ ଚିହ୍ନ |
2388360,11,0,487,229,Chain-link enclosure for tennis court,टेनिस कोर्ट के लिए चेन-लिंक संलग्नक,টেনিস কোর্টের জন্য চেইন-লিংক ঘের,ടെന്നീസ് കോർട്ടിനായുള്ള ചെയിൻ-ലിങ്ക് എൻ‌ക്ലോസർ,ଟେନିସ୍ କୋର୍ଟ ପାଇଁ ଶୃଙ୍ଖଳା-ଲିଙ୍କ୍ ଏନକ୍ଲୋଜର |
1700,470,183,110,406,stand in the room,कमरे में खड़े हो जाओ,রুমে দাঁড়ানো,മുറിയിലെ സ്റ്റാന്റ്,କୋଠରୀରେ ଠିଆ ହୁଅ |
4726,267,83,25,36,The window on the right on the second floor.,दूसरी मंजिल पर दाईं ओर की खिड़की।,দ্বিতীয় তলায় ডানদিকে উইন্ডো।,രണ്ടാം നിലയിലെ വലതുവശത്തുളള വിൻഡോ.,ଦ୍ୱିତୀୟ ମହଲାର ଡାହାଣ ପାର୍ଶ୍ୱରେ ଥିବା ୱିଣ୍ଡୋ |
2359703,21,342,57,16,Date stamp of photograph,फोटोग्राफ की तारीख का मोहर,ফটোগ্রাফের তারিখ স্ট্যাম্প,ഫോട്ടോയുടെ തീയതി സ്റ്റാമ്പ്,ଫଟୋଗ୍ରାଫର ତାରିଖ ଷ୍ଟାମ୍ପ୍ |
1591886,280,125,76,116,large silver juice press,बड़े चांदी का रस प्रेस,বড় রূপোর জুস প্রেস,വലിയ സിൽവർ ജ്യൂസ് പ്രസ്സ്,ବଡ଼ ରୂପା ରସ ପ୍ରେସ୍ |
2348154,37,178,48,20,the players in the dugout,डगआउट में खिलाड़ी,খেলোয়াড়দের ডাগআউট,ഡഗഔട്ടിലെ കളിക്കാർ,ଖୋଳାଯାଇଥିବା ଖେଳାଳୀମାନେ |
2350200,130,368,28,24,A white pot on the stand,स्टैंड पर एक सफेद मटका,স্ট্যান্ডে একটি সাদা পাত্র,സ്റ്റാൻഡിലെ ഒരു വെളുത്ത കലം,ଷ୍ଟାଣ୍ଡରେ ଏକ ଧଳା ହାଣ୍ଡି |
2348688,361,330,92,20,Photo's date stamp.,फोटो की तारीख मोहर,ছবির তারিখ স্ট্যাম্প।,ഫോട്ടോയുടെ തീയതി സ്റ്റാമ്പ്.,ଫଟୋ ତାରିଖ ଷ୍ଟାମ୍ପ୍ |
2396024,17,15,462,463,hind leg forms one quadrant,पिछ्ला पैर एक चतुर्थांश बनाता है,পেছনের লেগ এক চতুর্ভুজ গঠন,പിൻ‌കാലുകൾ‌ ഒരു ക്വാഡ്രൻറ് രൂപപ്പെടുത്തുന്നു,ପଛ ଗୋଡ ଗୋଟିଏ ଚତୁର୍ଥାଂଶ ସୃଷ୍ଟି କରେ |
2397888,1,131,493,105,Light green tennis court,हल्का हरा टेनिस कोर्ट,হালকা সবুজ টেনিস কোর্ট,ഇളം പച്ച ടെന്നീസ് കോർട്ട്,ହାଲୁକା ସବୁଜ ଟେନିସ୍ କୋର୍ଟ |
2353367,138,98,87,89,soccer players red shirt,फुटबॉल खिलाड़ी की लाल शर्ट,ফুটবল খেলোয়াড়রা লাল শার্ট,സോക്കർ കളിക്കാരുടെ ചുവന്ന ഷർട്ട്,ଫୁଟବଲ ଖେଳାଳୀମାନେ ଲାଲ୍ ସାର୍ଟ |
2355649,79,177,102,95,Gray television on stand,स्टैंड पर ग्रे टेलीविजन,স্ট্যান্ড ধূসর টেলিভিশন,ഗ്രേ ടെലിവിഷൻ സ്റ്റാൻഡിൽ,ଷ୍ଟାଣ୍ଡରେ ଧୂସର ଟେଲିଭିଜନ୍ |
2371001,1,0,251,67,a second meal plate.,भोजन की एक दूसरी थाली।,দ্বিতীয় খাবারের প্লেট,രണ്ടാമത്തെ ഭക്ഷണ പ്ലേറ്റ്.,ଦ୍ୱିତୀୟ ଭୋଜନ ପ୍ଲେଟ୍ |
2402752,0,375,232,123,dark wooden wash stand,ग़ाढे रंग की लकड़ी का वाश स्टैंड,গাঢ় কাঠের ওয়াশ স্ট্যান্ড,ഇരുണ്ട തടി വാഷ് സ്റ്റാൻഡ്,ଗାଢ କାଠ ଧୋଇବା ଷ୍ଟାଣ୍ଡ |
2362144,371,179,93,56,Cube-like cement block out-building with large square door,बड़े वर्ग द्वार के साथ घन-जैसा सीमेंट ब्लॉक ईमारत के बाहर,বড় স্কোয়ারের দরজা সহ কিউব-জাতীয় সিমেন্ট ব্লক আউট বিল্ডিং,വലിയ ചതുര വാതിലുള്ള ക്യൂബ് പോലുള്ള സിമന്റ് ബ്ലോക്ക് ഔട്ട്-ബിൽഡിംഗ്,ବଡ଼ ବର୍ଗ ଦ୍ୱାର ସହିତ କ୍ୟୁବ୍ ପରି ସିମେଣ୍ଟ ବ୍ଲକ୍ ଆଉଟ୍ ବିଲ୍ଡିଂ |
2356479,92,297,20,20,chinese characters on a red vehicle,एक लाल वाहन पर चीनी पात्र,একটি লাল গাড়িতে চীনা অক্ষর,ചുവന്ന വാഹനത്തിലെ ചൈനീസ് പ്രതീകങ്ങൾ,ଏକ ନାଲି ଗାଡିରେ ଚାଇନିଜ୍ ଅକ୍ଷର |
2323274,4,105,493,206,blue tennis court area,नीला टेनिस कोर्ट क्षेत्र,নীল টেনিস কোর্ট অঞ্চল,നീല ടെന്നീസ് കോർട്ട് ഏരിയ,ନୀଳ ଟେନିସ୍ କୋର୍ଟ କ୍ଷେତ୍ର |
2347963,226,388,128,111,Cement block outdoor flooring.,आउटडोर सीमेंट ब्लॉक फर्श।,সিমেন্ট ব্লক আউটডোর মেঝে,സിമന്റ് ബ്ലോക്ക് ഔട്ട്‌ഡോർ ഫ്ലോറിംഗ്.,ସିମେଣ୍ଟ ବ୍ଲକ୍ ବାହ୍ୟ ଚଟାଣ |
713795,335,3,314,131,the sign has asian characters,साइन में एशियाई वर्ण हैं,সাইন এশিয়ান অক্ষর আছে,ചിഹ്നത്തിൽ ഏഷ്യൻ പ്രതീകങ്ങളുണ്ട്,ଚିହ୍ନରେ ଏସିଆନ୍ ଅକ୍ଷର ଅଛି |
2339052,275,85,26,42,a cross sign on top of the tower,टॉवर के शीर्ष पर एक क्रॉस साइन,টাওয়ারের উপরে একটি ক্রস চিহ্ন,ഗോപുരത്തിന് മുകളിൽ ഒരു ക്രോസ് ചിഹ്നം,ଟାୱାର ଉପରେ ଏକ କ୍ରସ୍ ଚିହ୍ନ |
2403908,15,268,19,60,man is waiting to cross,आदमी पार होने की प्रतीक्षा कर रहा है,মানুষ ক্রস করার জন্য অপেক্ষা করছে,മനുഷ്യൻ കടക്കാൻ കാത്തിരിക്കുന്നു,ମଣିଷ ଅତିକ୍ରମ କରିବାକୁ ଅପେକ୍ଷା କରିଛି |
2403417,112,404,24,14,spikes on a players shoe,एक खिलाड़ी के जूते पर क़ीलें,একটি প্লেয়ার জুতো উপর কাঁটা,കളിക്കാരുടെ ഷൂവിൽ സ്പൈക്കുകൾ,ଏକ ଖେଳାଳୀ ଜୋତା ଉପରେ ସ୍ପାଇକ୍ |
2389878,0,1,497,278,a museum containing models of airplanes,एक संग्रहालय जिसमें हवाई जहाज़ों के मॉडलें हैं,বিমানগুলির মডেল সমন্বিত একটি যাদুঘর,വിമാനങ്ങളുടെ മാതൃകകൾ ഉൾക്കൊള്ളുന്ന ഒരു മ്യൂസിയം,ବିମାନର ମଡେଲ ଧାରଣ କରିଥିବା ଏକ ସଂଗ୍ରହାଳୟ |
2414566,336,314,140,40,date and time stamp on a picture,एक तस्वीर पर तारीख और समय की मुहर,একটি ছবিতে তারিখ এবং সময় স্ট্যাম্প,ഒരു ചിത്രത്തിലെ തീയതിയും സമയ സ്റ്റാമ്പും,ଏକ ଚିତ୍ର ଉପରେ ତାରିଖ ଏବଂ ସମୟ ଷ୍ଟାମ୍ପ୍ |
2407591,123,217,255,53,Chinese characters on sign,चिन्ह पर चीनी अक्षर,সাইন ইন চীনা অক্ষর,ചിഹ്നത്തിലുള്ള ചൈനീസ് പ്രതീകങ്ങൾ,ଚିହ୍ନରେ ଚାଇନିଜ୍ ଅକ୍ଷର |
2404682,95,34,26,141,an orange sign with written characters,लिखित अक्षरों के साथ एक नारंगी चिन्ह,লিখিত অক্ষরের সাথে একটি কমলা চিহ্ন,ഒരു ഓറഞ്ച് ചിഹ്നത്തിൽ എഴുതിയ പ്രതീകങ്ങൾ ഉണ്ട്,ଲିଖିତ ଅକ୍ଷର ସହିତ ଏକ କମଳା ଚିହ୍ନ |
2407657,2,2,487,97,Baseball players are in the background,बेसबॉल खिलाड़ी पृष्ठभूमि में हैं,বেসবল প্লেয়াররা পটভূমিতে রয়েছে,ബേസ്ബോൾ കളിക്കാർ ബാക്ക് ഗൗണ്ടിൽ ഉണ്ട്,ବେସବଲ୍ ଖେଳାଳୀମାନେ ପୃଷ୍ଠଭୂମିରେ ଅଛନ୍ତି |
1651,665,319,114,99,Newspaper stand on the grass,अखबार स्टैंड घास पर हैं,খবরের কাগজ ঘাসে দাঁড়িয়ে আছে,ന്യൂസ്‌പേപ്പർ സ്റ്റാന്റ് പുല്ലിൽ,ଖବରକାଗଜ ଘାସ ଉପରେ ଛିଡା ହୋଇଛି |
2399813,26,52,245,322,young female date wearing a purple rhinestone sleeveless gown,एक बैंगनी स्फटिक स्लीवलेस गाउन पहनी हुई युवती,বেগুনি কাঁচের কাঁচের স্লিভলেস গাউন পরা তরুণ মহিলা তারিখ,ഒരു പർപ്പിൾ റിൻ‌സ്റ്റോൺ സ്ലീവ്‌ലെസ് ഗൗൺ ധരിച്ച യുവതി,ବାଇଗଣୀ ରାଇନ୍ଷ୍ଟୋନ୍ ସ୍ଲିଭଲେସ୍ ଗାଉନ୍ ପିନ୍ଧିଥିବା ଯୁବତୀ ତାରିଖ |
2325,444,265,276,308,two people waiting to cross,पार करने हेतु इंतजार कर रहे दो लोग,দুই জন ক্রস করার জন্য অপেক্ষা করছে,കടക്കാൻ കാത്തിരിക്കുന്ന രണ്ടുപേർ,ଦୁଇ ଜଣ ଅତିକ୍ରମ କରିବାକୁ ଅପେକ୍ଷା କରିଛନ୍ତି
2400669,11,256,42,20,the side of the second train,दूसरी ट्रेन का किनारा,দ্বিতীয় ট্রেনের পাশ,രണ്ടാമത്തെ ട്രെയിനിന്റെ വശം,ଦ୍ୱିତୀୟ ଟ୍ରେନର ପାର୍ଶ୍ୱ
2344256,152,38,180,159,the bird is stand on a tree branch,पक्षी एक पेड़ की शाखा पर खड़ा है,পাখি গাছের ডালে দাঁড়িয়ে আছে,പക്ഷി ഒരു മരക്കൊമ്പിൽ നിൽക്കുന്നു,ପକ୍ଷୀଟି ଏକ ଗଛର ଶାଖା ଉପରେ ଠିଆ ହୋଇଛି |
497998,778,264,109,89,a black cross on a vertical stabilizer,एक ऊर्ध्वाधर स्टेबलाइजर पर एक काला क्रॉस,একটি উল্লম্ব স্ট্যাবিলাইজারের উপর একটি কালো ক্রস,വെർട്ടിക്കൽ സ്റ്റെബിലൈസറിൽ ഒരു കറുത്ത ക്രോസ്,ଏକ ଭୂଲମ୍ବ ଷ୍ଟାବିଲାଇଜର୍ ଉପରେ ଏକ କଳା କ୍ରସ୍ |
2413194,5,7,327,491,a green tennis court,एक हरी टेनिस कोर्ट,একটি সবুজ টেনিস কোর্ট,ഒരു പച്ച ടെന്നീസ് കോർട്ട്,ଏକ ସବୁଜ ଟେନିସ୍ କୋର୍ଟ |
2341687,186,57,220,120,neutral makeup on both rain models,दोनों वर्षा मॉडलों पर तटस्थ मेकअप,উভয় বৃষ্টি মডেল নিরপেক্ষ মেকআপ,രണ്ട് മോഡലുകളിലും ന്യൂട്രൽ മേക്കപ്പ്,ଉଭୟ ବର୍ଷା ମଡେଲ ଉପରେ ନିରପେକ୍ଷ ମେକଅପ୍ |
713684,352,405,77,33,the second bus has a blue sign,दूसरी बस में एक नीला चिन्ह है,দ্বিতীয় বাসটিতে একটি নীল চিহ্ন রয়েছে,രണ്ടാമത്തെ ബസിന് നീല ചിഹ്നമുണ്ട്,ଦ୍ୱିତୀୟ ବସ୍ ରେ ଏକ ନୀଳ ଚିହ୍ନ ଅଛି |
2315716,82,101,376,74,This is some type of a fair.,यह किसी प्रकार का मेला है।,এটি মেলার এক প্রকার।,ഇത് ഒരു തരം മേളയാണ്.,ଏହା ଏକ ପ୍ରକାରର ମେଳା |
2321405,8,14,469,102,A display of different phone models,विभिन्न फोन मॉडलों का प्रदर्शन,বিভিন্ন ফোনের মডেলগুলির প্রদর্শন,വ്യത്യസ്ത ഫോൺ മോഡലുകളുടെ പ്രദർശനം,ବିଭିନ୍ନ ଫୋନ୍ ମଡେଲଗୁଡିକର ପ୍ରଦର୍ଶନ |
2338246,404,169,45,44,microphone on the court,कोर्ट पर माइक्रोफोन,কোর্টে মাইক্রোফোন,കോർട്ടിൽ മൈക്രോഫോൺ,କୋର୍ଟରେ ମାଇକ୍ରୋଫୋନ୍ |
2328197,257,185,25,32,person doing a hand stand,व्यक्ति हाथों के बल खड़ा हुआ,ব্যক্তি একটি হাত স্ট্যান্ড করছেন,ഹാൻഡ് സ്റ്റാൻഡ് ചെയ്യുന്ന വ്യക്തി,ହ୍ୟାଣ୍ଡ ଷ୍ଟାଣ୍ଡ୍ କରୁଥିବା ବ୍ୟକ୍ତି |
2375545,125,136,65,65,springs of the seat,आसन की स्प्रिंग्स,আসন স্প্রিংস,ഇരിപ്പിടത്തിന്റെ സ്പ്രിങ്ങുകൾ,ଆସନର ସ୍ପ୍ରିଙ୍ଗ |
2340477,48,1,31,97,A large pipe extending from the wall of the court.,कोर्ट की दीवार से निक्ली हुई एक बड़ी पाइप,কোর্টের দেয়াল থেকে প্রসারিত একটি বৃহত পাইপ।,കോർട്ടിന്റെ മതിലിൽ നിന്ന് നീളുന്ന ഒരു വലിയ പൈപ്പ്.,କୋର୍ଟର କାନ୍ଥରୁ ବିସ୍ତୃତ ଏକ ବଡ଼ ପାଇପ୍ |
2329549,7,195,99,45,rapid in fast water,तेजी से पानी में,দ্রুত জলে দ্রুত,വേഗത്തിലുള്ള വെള്ളം ദ്രുതഗതിയിൽ,ଦ୍ରୁତ ପାଣିରେ ଦ୍ରୁତ ଗତିରେ |
1592594,312,326,297,280,a stone block train platform,एक पत्थर ब्लॉक का ट्रेन प्लेटफार्म,একটি পাথর ব্লক ট্রেন প্ল্যাটফর্ম,ഒരു സ്റ്റോൺ ബ്ലോക്ക് ട്രെയിൻ പ്ലാറ്റ്ഫോം,ଏକ ପଥର ବ୍ଲକ ଟ୍ରେନ୍ ପ୍ଲାଟଫର୍ମ |
2410637,173,317,33,19,a book is on the night stand,नाइट स्टैंड पर एक किताब है,একটি বই নাইট স্ট্যান্ডে আছে,രാത്രി സ്റ്റാൻഡിൽ ഒരു പുസ്തകം ഉണ്ട്,ନାଇଟ୍ ଷ୍ଟାଣ୍ଡରେ ଏକ ବହି ଅଛି |
2390628,208,275,62,46,orange springs on the bottom of train,ट्रेन के तल पर नारंगी स्प्रिंग्स,ট্রেনের নীচে কমলা ফোয়ারা,ട്രെയിനിന്റെ അടിയിൽ ഓറഞ്ച് സ്പ്രിങ്ങുകൾ,ଟ୍ରେନ୍ ତଳେ କମଳା ସ୍ପ୍ରିଙ୍ଗ |
2315846,8,286,489,70,a fast flowing river,एक तेज बहने वाली नदी,একটি দ্রুত প্রবাহিত নদী,വേഗത്തിൽ ഒഴുകുന്ന നദി,ଏକ ପ୍ରବାହିତ ନଦୀ
